Time,葉蔚琳,工聯會,職工盟,工黨,民建聯,新民黨,民主黨,公民黨
26/02/2018 21:20,12.93,34.01,12.7,2.11,6.03,8.57,5.45,5.79
26/02/2018 21:28,12.63,32.37,12.4,1.51,6.13,7.71,5.48,5.68
26/02/2018 21:36,12.26,30.57,12.03,1.17,6.12,6.86,5.45,5.3
26/02/2018 21:44,12.27,28.59,12.05,0.79,5.98,6,5.35,4.7
26/02/2018 21:52,12.34,26.94,12.12,0.42,5.96,5.46,5.13,4.1
26/02/2018 22:00,12.39,25.12,12.17,0.15,5.81,4.62,4.8,3.5
26/02/2018 22:08,12.3,23.28,12.08,-0.24,5.41,3.12,4.46,2.91
26/02/2018 22:16,12.25,21.04,12.02,-0.62,5.01,1.96,4.12,2.32
26/02/2018 22:24,12.12,18.67,11.9,-0.9,4.49,0.8,3.78,1.72
26/02/2018 22:32,11.82,16.11,11.6,-1.39,4.07,-0.35,3.49,1.13
26/02/2018 22:40,11.6,13.67,11.38,-1.76,3.6,-1.51,3.09,0.54
26/02/2018 22:48,11.44,11.58,11.21,-2.13,3.2,-2.67,2.64,-0.05
26/02/2018 22:56,11,9.78,10.78,-2.59,2.92,-3.82,2.24,-0.61
26/02/2018 23:04,10.69,8,10.47,-2.93,2.52,-4.98,1.86,-1.16
26/02/2018 23:12,10.22,6.71,10,-3.28,2.2,-5.76,1.49,-1.72
26/02/2018 23:20,9.79,5.38,9.56,-3.39,1.96,-5.76,1.07,-1.99
26/02/2018 23:28,9.32,4.22,9.1,-3.6,1.61,-5.76,0.6,-2.27
26/02/2018 23:36,8.84,3.11,8.62,-3.71,1.28,-5.76,0.13,-2.54
26/02/2018 23:44,8.3,2.49,8.07,-3.69,0.73,-5.41,-0.4,-2.81
26/02/2018 23:52,7.67,1.75,7.44,-3.65,0.2,-5.07,-0.79,-3.09
27/02/2018 0:00,7.25,0.77,7.03,-3.61,-0.32,-4.72,-1.2,-3.36
27/02/2018 0:08,6.99,0.03,6.77,-3.66,-0.89,-4.38,-1.61,-3.36
27/02/2018 0:16,6.32,-0.81,6.1,-3.8,-1.45,-4.03,-1.96,-3.36
27/02/2018 0:24,5.45,-1.76,5.23,-3.94,-1.99,-3.69,-2.24,-3.36
27/02/2018 0:32,4.74,-2.75,4.52,-4.19,-2.51,-3.34,-2.46,-3.36
27/02/2018 0:40,3.9,-3.63,3.68,-4.34,-2.9,-3,-2.49,-2.99
27/02/2018 0:48,2.96,-4.3,2.74,-4.39,-3.35,-2.65,-2.43,-2.62
27/02/2018 0:56,2.23,-5.13,2.01,-4.45,-3.64,-2.72,-2.25,-2.25
27/02/2018 1:04,1.53,-6.08,1.32,-4.5,-3.79,-2.79,-2.12,-1.88
27/02/2018 1:12,0.72,-6.62,0.52,-4.35,-3.86,-2.86,-1.92,-1.5
