票站編號,票站名稱,數票總數,張超雄,楊岳橋,葛珮帆,陳克勤,張超雄,楊岳橋,葛珮帆,陳克勤
N1604,沙頭角中心小學,1913,58,99,16,1091,0.03031887088,0.05175117616,0.008363826451,0.5703084161
N0901,風采中學(教育評議會主辦),4990,299,328,66,1687,0.05991983968,0.06573146293,0.01322645291,0.3380761523
P0801,廣福社區會堂,4070,286,360,64,1317,0.07027027027,0.08845208845,0.01572481572,0.3235872236
N0602,路德會賽馬會雍盛綜合服務中心,4542,351,351,83,1405,0.07727873184,0.07727873184,0.01827388815,0.3093350947
P1301,南華莆村崇真堂,420,32,51,14,125,0.07619047619,0.1214285714,0.03333333333,0.2976190476
P1702,九龍坑公立育賢學校,1097,85,110,55,325,0.0774840474,0.1002734731,0.05013673655,0.2962625342
P0901,大埔浸信會公立學校,4883,358,423,109,1309,0.07331558468,0.08662707352,0.02232234282,0.268072906
N1102,蕉徑村公所,1080,39,59,43,301,0.03611111111,0.05462962963,0.03981481481,0.2787037037
N1602,International College Hong Kong,852,31,60,28,223,0.03638497653,0.07042253521,0.03286384977,0.2617370892
N0401,香海正覺蓮社佛教正覺蓮社學校,6979,541,580,157,1728,0.07751826909,0.08310646224,0.02249605961,0.2475999427
N1201,彩園會堂,5912,393,383,173,1488,0.06647496617,0.0647834912,0.02926251691,0.251691475
N0601,香海正覺蓮社佛教普光學校,3188,267,287,64,755,0.08375156838,0.0900250941,0.02007528231,0.236825596
N0101,香海正覺蓮社佛教馬錦燦紀念英文中學,3431,302,310,104,815,0.08802098514,0.09035266686,0.03031186243,0.2375400758
P0101,大埔社區中心(展覽廳),3601,320,332,117,852,0.08886420439,0.09219661205,0.03249097473,0.2366009442
P1302,獅子會林村青年中心,2781,245,256,109,667,0.08809780654,0.09205321827,0.03919453434,0.2398417835
N1805,和合石村公所,317,23,27,20,78,0.07255520505,0.08517350158,0.06309148265,0.2460567823
P1401,神召會康樂中學,5874,502,472,147,1208,0.08546135512,0.08035410283,0.02502553626,0.2056520259
N1702,聯和墟社區會堂,4629,411,414,185,1019,0.08878807518,0.08943616332,0.0399654353,0.2201339382
P0302,香港紅卍字會大埔卍慈中學,3097,267,282,89,612,0.08621246367,0.09105586051,0.02873748789,0.1976105909
P0401,大元社區會堂,4416,304,400,138,879,0.06884057971,0.09057971014,0.03125,0.199048913
N0501,鳳溪廖潤琛紀念學校,6320,427,519,167,1223,0.06756329114,0.08212025316,0.02642405063,0.1935126582
N1501,鳳溪廖萬石堂中學,4607,284,425,134,895,0.06164532234,0.09225092251,0.02908617321,0.1942695898
P1501,林村公立黃福鑾紀念學校,5498,456,497,179,1083,0.08293925064,0.09039650782,0.03255729356,0.1969807203
N0301,祥華社區會堂,6040,436,435,171,1141,0.07218543046,0.07201986755,0.02831125828,0.1889072848
P1801,大美督村公所,1747,146,160,100,377,0.08357183744,0.09158557527,0.05724098454,0.2157985117
N1104,坑頭村公所,1216,62,82,49,240,0.05098684211,0.06743421053,0.04029605263,0.1973684211
P0601,富善社區會堂,6612,455,405,151,1176,0.06881427707,0.0612522686,0.02283726558,0.1778584392
P1802,船灣詹屋村村公所,2313,224,207,121,469,0.09684392564,0.08949416342,0.0523130134,0.2027669693
N1301,龍琛路體育館,722,31,43,23,130,0.04293628809,0.0595567867,0.03185595568,0.1800554017
P0802,大埔崇德黃建常紀念學校,877,84,80,28,157,0.09578107184,0.09122006842,0.03192702395,0.1790193843
P1101,運頭塘鄰里社區中心,4849,442,479,143,814,0.09115281501,0.09878325428,0.02949061662,0.1678696638
P0501,富亨鄰里社區中心,6105,496,605,173,1001,0.08124488124,0.0990990991,0.02833742834,0.163963964
N1302,聖公會陳融中學,3293,190,226,114,552,0.05769814759,0.06863042818,0.03461888855,0.1676283025
N1701,天平體育館,3565,278,350,122,581,0.07798036466,0.09817671809,0.03422159888,0.162973352
N1601,打鼓嶺嶺英公立學校,555,25,33,22,93,0.04504504505,0.05945945946,0.03963963964,0.1675675676
N0801,粉嶺官立中學,3078,315,305,126,515,0.1023391813,0.09909031839,0.04093567251,0.1673164392
N1801,從謙學校,683,39,58,34,120,0.05710102489,0.08491947291,0.04978038067,0.1756954612
N1103,古洞公立愛華學校,1797,103,119,72,290,0.05731775181,0.06622148024,0.04006677796,0.1613800779
P0201,大埔官立中學,5348,417,524,170,808,0.07797307405,0.09798055348,0.03178758414,0.1510845176
P1001,香港教師會李興貴中學,6637,635,681,321,1099,0.09567575712,0.1026065994,0.04836522525,0.1655868615
P1202,挪威國際學校,1232,125,120,55,199,0.101461039,0.0974025974,0.04464285714,0.161525974
N1802,龍山學校,826,70,57,25,121,0.08474576271,0.06900726392,0.03026634383,0.1464891041
N1606,打鼓嶺社區會堂,768,93,70,27,113,0.12109375,0.09114583333,0.03515625,0.1471354167
N1303,香海正覺蓮社佛教陳式宏學校,1600,124,89,46,214,0.0775,0.055625,0.02875,0.13375
N1804,新福事工協會生命導向中心,1202,87,93,86,207,0.07237936772,0.07737104825,0.07154742097,0.1722129784
P1704,孔教學院大成何郭佩珍中學,1488,147,126,64,212,0.09879032258,0.08467741935,0.04301075269,0.1424731183
P1701,大埔三育中學,3282,360,307,141,465,0.1096892139,0.09354052407,0.04296160878,0.1416819013
P0701,香港道教聯合會圓玄學院第二中學,5427,359,345,184,704,0.06615072784,0.06357103372,0.03390455132,0.1297217616
P0301,新界婦孺福利會梁省德學校,2286,188,211,96,313,0.08223972003,0.09230096238,0.04199475066,0.136920385
N1803,軍地蔬菜產銷有限責任合作社,872,61,78,47,129,0.06995412844,0.08944954128,0.05389908257,0.1479357798
P1201,仁濟醫院蔡衍濤小學,3973,443,397,178,550,0.1115026428,0.09992449031,0.04480241631,0.1384344324
P1303,圍頭村村公所,750,51,61,14,82,0.068,0.08133333333,0.01866666667,0.1093333333
N1401,石湖墟公立學校,5554,435,530,209,707,0.07832193014,0.09542671948,0.03763053655,0.1272956428
P1304,泰亨公立學校,962,72,80,52,137,0.07484407484,0.08316008316,0.05405405405,0.1424116424
N0701,聖公會嘉福榮真小學,5813,531,441,225,693,0.0913469809,0.07586444177,0.03870634784,0.1192155514
N0202,明愛粉嶺陳震夏中學,2044,222,178,121,283,0.1086105675,0.08708414873,0.05919765166,0.1384540117
P1002,保良局田家炳千禧小學,1975,138,179,162,295,0.06987341772,0.09063291139,0.08202531646,0.1493670886
N0201,粉嶺公立學校,1670,127,131,79,190,0.07604790419,0.07844311377,0.04730538922,0.1137724551
N1001,保榮路體育館,4295,267,275,249,533,0.0621653085,0.06402793946,0.05797438882,0.1240977881
P1601,太和鄰里社區中心,5280,597,558,226,540,0.1130681818,0.1056818182,0.0428030303,0.1022727273
N0802,田家炳中學,1941,162,160,126,238,0.08346213292,0.08243173622,0.06491499227,0.1226172076
N1101,金錢村何東學校,1375,69,109,72,150,0.05018181818,0.07927272727,0.05236363636,0.1090909091
