票站編號,票站名稱,數票總數,葉劉淑儀,張國鈞,羅冠聰,許智峯,陳淑莊,郭偉强,葉劉淑儀(%),張國鈞(%),羅冠聰(%),許智峯(%),陳淑莊(%),郭偉强(%)
C3001,循道愛華村服務中心社會福利部 - 愛華青少年綜合服務隊(耀東服務處),3247,226,208,434,195,201,1063,6.96%,6.41%,13.37%,6.01%,6.19%,32.74%
C1801,渣華道體育館,5451,488,477,549,389,428,1917,15.03%,8.75%,10.07%,7.14%,7.85%,35.17%
D1702,石澳健康院,730,99,153,107,38,35,107,3.05%,20.96%,14.66%,5.21%,4.79%,14.66%
LC001,亞洲國際博覽館 (點算誤投選票),41,4,9,7,5,3,4,0.12%,21.95%,17.07%,12.20%,7.32%,9.76%
C2701,青松興東幼稚園,3624,398,162,452,198,251,985,12.26%,4.47%,12.47%,5.46%,6.93%,27.18%
A1102,中山紀念公園體育館,1217,117,205,191,152,117,149,3.60%,16.84%,15.69%,12.49%,9.61%,12.24%
C1701,銅鑼灣社區中心,2558,347,165,333,263,263,582,10.69%,6.45%,13.02%,10.28%,10.28%,22.75%
C3102,路德會聖雅各幼稚園,2680,232,595,290,179,171,455,7.15%,22.20%,10.82%,6.68%,6.38%,16.98%
D1501,香港仔網球及壁球中心,1547,249,82,202,190,155,267,7.67%,5.30%,13.06%,12.28%,10.02%,17.26%
D1201,展亮技能發展中心 (薄扶林),361,95,29,43,29,29,31,2.93%,8.03%,11.91%,8.03%,8.03%,8.59%
D0201,鴨脷洲社區會堂,4170,437,429,541,449,281,1020,13.46%,10.29%,12.97%,10.77%,6.74%,24.46%
D1301,明愛賽馬會香港仔服務中心,1298,187,109,211,115,136,141,5.76%,8.40%,16.26%,8.86%,10.48%,10.86%
A1101,中西區及離島區社會保障辦事處,2670,300,528,341,268,187,426,9.24%,19.78%,12.77%,10.04%,7.00%,15.96%
D1101,沙宣道會堂,796,127,63,156,100,70,53,3.91%,7.91%,19.60%,12.56%,8.79%,6.66%
D0901,明愛莊月明中學,3756,406,503,406,579,297,717,12.50%,13.39%,10.81%,15.42%,7.91%,19.09%
A1301,新會商會學校,1144,162,175,155,231,89,75,4.99%,15.30%,13.55%,20.19%,7.78%,6.56%
C2902,筲箕灣街坊福利事務促進會有限公司,2418,296,257,391,193,231,306,9.12%,10.63%,16.17%,7.98%,9.55%,12.66%
C3101,粵南信義會腓力堂興民幼兒學園,2638,287,539,333,225,201,317,8.84%,20.43%,12.62%,8.53%,7.62%,12.02%
C1901,北角衞理小學,3171,424,291,408,346,319,587,13.06%,9.18%,12.87%,10.91%,10.06%,18.51%
C1301,文理書院(香港),4658,489,494,536,350,600,989,15.06%,10.61%,11.51%,7.51%,12.88%,21.23%
D1001,東華三院鶴山學校,4228,350,685,467,749,347,600,10.78%,16.20%,11.05%,17.72%,8.21%,14.19%
B0501,港島兒童蒙特梭利學校,987,207,82,128,123,120,64,6.38%,8.31%,12.97%,12.46%,12.16%,6.48%
B1101,寶血小學,755,205,68,69,74,80,45,6.31%,9.01%,9.14%,9.80%,10.60%,5.96%
A0401,德瑞國際學校山頂校舍,694,210,83,52,90,62,40,6.47%,11.96%,7.49%,12.97%,8.93%,5.76%
C0602,筲箕灣官立小學,3383,478,351,404,269,310,622,14.72%,10.38%,11.94%,7.95%,9.16%,18.39%
A0302,食物環境衞生署食物安全中心(醫院道辦事處),1043,223,96,133,194,109,48,6.87%,9.20%,12.75%,18.60%,10.45%,4.60%
