票站編號,票站名稱,數票總數,姚松炎,鄭泳舜,蔡東洲,姚松炎(%),鄭泳舜(%),蔡東洲(%)
E0101,仁愛堂陳鄭玉而幼稚園,2299,1023,1247,29,44.50,54.24,1.26
E0201,九龍公園游泳池,4254,2049,2142,63,48.17,50.35,1.48
E0401,梁顯利油麻地社區中心,3419,1618,1744,57,47.32,51.01,1.67
E0501,油蔴地天主教小學(海泓道),4602,2473,2066,63,53.74,44.89,1.37
E0601,旺角社區會堂,1948,906,1017,25,46.51,52.21,1.28
E0701,保良局陳守仁小學,4356,2166,2133,57,49.72,48.97,1.31
E0801,香港保護兒童會中銀幼兒學校,3051,1683,1330,38,55.16,43.59,1.25
E0901,路德會沙崙學校,2391,1115,1246,30,46.63,52.11,1.25
E1001,大角嘴天主教小學,2391,1115,1246,30,46.63,52.11,1.25
E1101,中華基督教會基全小學,2822,1333,1442,47,47.24,51.10,1.67
E1201,鮮魚行學校,3011,1598,1365,48,53.07,45.33,1.59
E1301,聖公會基榮小學,2441,1173,1233,35,48.05,50.51,1.43
E1401,界限街一號體育館,2621,1442,1145,34,55.02,43.69,1.30
E1501,優才(楊殷有娣)書院,1956,1044,885,27,53.37,45.25,1.38
E1601,東華三院羅裕積小學,2153,1215,906,32,56.43,42.08,1.49
E1701,油蔴地街坊會學校,1411,663,740,8,46.99,52.45,0.57
E1702,香港理工大學紅磡灣校園,237,131,102,4,55.27,43.04,1.69
E1901,佐敦道官立小學,4102,1951,2099,52,47.56,51.17,1.27
F0101,保安道體育館,3256,1666,1550,40,51.17,47.60,1.23
F0201,福榮街官立小學,3274,1844,1372,58,56.32,41.91,1.77
F0301,英華女學校,2459,1138,1302,19,46.28,52.95,0.77
F0401,石硤尾社區會堂,4446,1807,2608,31,40.64,58.66,0.70
F0501,基督教香港崇真會安康幼兒學校,2684,1454,1204,26,54.17,44.86,0.97
F0601,深水埔街坊福利事務促進會,2586,1343,1211,32,51.93,46.83,1.24
F0701,北河街體育館,1753,724,1007,22,41.30,57.44,1.25
F0801,南昌社區中心,2870,1413,1422,35,49.23,49.55,1.22
