調查日期 Date of survey,樣本人數 Total Sample,次樣本人數 Sub-sample,有信心 Confident,冇信心 Not Confident,難講/唔知道 DK/HS,合計 Total,淨值 Net Value
21-24/3/2017,1073,1073,52.40%,43.30%,4.20%,100.00%,9.10%
12-15/12/2016,1001,635,47.00%,45.20%,7.70%,100.00%,1.80%
19-25/8/2016,1003,595,48.00%,42.60%,9.40%,100.00%,5.40%
10-16/6/2016,1007,663,44.50%,49.70%,5.80%,100.00%,-5.20%
14-18/3/2016,1001,680,42.30%,50.20%,7.60%,100.00%,-7.90%
10-15/12/2015,1012,653,49.60%,43.00%,7.40%,100.00%,6.70%
9-17/9/2015,1006,572,43.30%,50.00%,6.80%,100.00%,-6.70%
15-18/6/2015,1003,560,51.70%,42.50%,5.80%,100.00%,9.20%
9-12/3/2015,1024,638,42.90%,51.50%,5.60%,100.00%,-8.60%
15-18/12/2014,1014,640,45.60%,47.40%,7.00%,100.00%,-1.70%
4-11/9/2014,1000,578,37.60%,56.30%,6.20%,100.00%,-18.70%
6-12/6/2014,1026,634,46.90%,46.10%,6.90%,100.00%,0.80%
17-20/3/2014,1023,633,48.20%,45.20%,6.70%,100.00%,3.00%
9-12/12/2013,1015,638,49.20%,42.30%,8.50%,100.00%,6.90%
15-17/9/2013,1007,648,54.90%,39.70%,5.40%,100.00%,15.20%
10-13/6/2013,1055,655,47.10%,47.20%,5.60%,100.00%,-0.10%
19-21/3/2013,1018,617,55.60%,34.90%,9.50%,100.00%,20.60%
5-13/12/2012,1030,683,54.20%,38.10%,7.70%,100.00%,16.10%
11-14/9/2012,1036,561,46.20%,43.70%,10.10%,100.00%,2.40%
4-12/6/2012,1003,531,51.10%,36.70%,12.30%,100.00%,14.40%
9-11/3/2012,1022,514,55.10%,38.60%,6.30%,100.00%,16.50%
6-13/12/2011,1005,533,52.30%,40.40%,7.30%,100.00%,11.90%
5-10/9/2011,1038,512,57.70%,32.80%,9.40%,100.00%,24.90%
13-16/6/2011,1034,533,58.80%,33.60%,7.60%,100.00%,25.30%
1-9/3/2011,1003,547#,62.20%,32.00%,5.80%,100.00%,30.20%
13-16/12/2010,1013,1013,60.70%,32.40%,6.90%,100.00%,28.20%
7-11/9/2010,1011,1011,62.50%,29.20%,8.30%,100.00%,33.20%
9-13/6/2010,1004,1004,56.90%,38.80%,4.30%,100.00%,18.10%
1-3/3/2010,1005,1005,64.40%,31.10%,4.60%,100.00%,33.30%
28-30/12/2009,1028,1028,65.70%,27.70%,6.60%,100.00%,38.00%
20-30/10/2009,1005,1005,67.30%,25.60%,7.10%,100.00%,41.70%
25-30/8/2009,1000,1000,71.30%,24.60%,4.10%,100.00%,46.70%
16-21/6/2009,1012,1012,72.40%,20.90%,6.60%,100.00%,51.50%
21-23/4/2009,1014,1014,72.90%,22.10%,5.00%,100.00%,50.70%
23-26/2/2009,1020,1020,72.20%,22.10%,5.70%,100.00%,50.10%
23-29/12/2008,1022,1022,72.60%,20.50%,6.90%,100.00%,52.10%
27-29/10/2008,1015,1015,68.80%,24.50%,6.70%,100.00%,44.30%
25-26/8/2008,1065,1065,74.00%,19.80%,6.20%,100.00%,54.30%
18-20/6/2008,1003,1003,71.30%,21.10%,7.70%,100.00%,50.20%
23-25/4/2008,1029,1029,77.50%,16.70%,5.80%,100.00%,60.80%
28-29/2/2008,1007,1007,75.20%,18.20%,6.70%,100.00%,57.00%
11-14/12/2007,1011,1011,72.80%,21.80%,5.30%,100.00%,51.00%
22-25/10/2007,1016,1016,74.90%,17.50%,7.70%,100.00%,57.40%
13-16/8/2007,1008,1008,76.90%,17.10%,6.00%,100.00%,59.80%
8-12/6/2007,1016,1016,73.00%,20.00%,7.00%,100.00%,53.00%
17-20/4/2007,1011,1011,77.70%,17.50%,4.80%,100.00%,60.20%
12-14/2/2007,1013,1013,68.00%,24.90%,7.10%,100.00%,43.10%
6-12/12/2006,1011,1011,69.60%,25.50%,4.90%,100.00%,44.00%
23-27/10/2006,1010,1010,70.40%,22.60%,7.00%,100.00%,47.80%
11-15/8/2006,1015,1015,71.30%,22.60%,6.10%,100.00%,48.80%
13-15/6/2006,1018,1018,70.30%,22.40%,7.40%,100.00%,47.90%
18-21/4/2006,1015,1015,70.90%,20.40%,8.70%,100.00%,50.50%
9-14/2/2006,1012,1012,67.00%,25.00%,8.00%,100.00%,41.90%
15-19/12/2005,1016,1016,66.70%,23.30%,10.00%,100.00%,43.40%
17-21/10/2005,1009,1009,64.60%,25.60%,9.80%,100.00%,39.00%
22-25/8/2005,1004,1004,64.00%,27.00%,8.90%,100.00%,37.00%
20-23/6/2005,1026,1026,58.50%,24.30%,17.20%,100.00%,34.20%
11-14/4/2005,1009,1009,55.90%,31.30%,12.80%,100.00%,24.60%
17-20/2/2005,1026,1026,57.30%,29.00%,13.70%,100.00%,28.30%
18-23/12/2004,1020,1020,63.50%,27.40%,9.10%,100.00%,36.10%
11-14/10/2004,1010,1010,59.10%,27.00%,14.00%,100.00%,32.10%
21-28/8/2004,1033,1033,55.30%,30.70%,14.00%,100.00%,24.60%
21-24/6/2004,1023,1023,48.30%,35.10%,16.70%,100.00%,13.20%
13-16/4/2004,1022,1022,49.70%,36.70%,13.60%,100.00%,13.00%
20-23/2/2004,1045,1045,57.10%,27.40%,15.40%,100.00%,29.70%
20-23/12/2003,1022,1022,56.20%,27.10%,16.70%,100.00%,29.10%
8-11/10/2003,1004,1004,53.00%,32.30%,14.70%,100.00%,20.70%
18-20/8/2003,1032,1032,51.90%,33.40%,14.70%,100.00%,18.50%
13-18/6/2003,1043,1043,48.60%,38.00%,13.50%,100.00%,10.60%
16-23/4/2003,1021,1021,50.60%,38.10%,11.20%,100.00%,12.50%
14-18/2/2003,1045,1045,48.50%,39.10%,12.50%,100.00%,9.40%
13-18/12/2002,1026,1026,51.20%,35.10%,13.70%,100.00%,16.10%
13-16/10/2002,1028,1028,51.20%,36.50%,12.20%,100.00%,14.70%
14-19/8/2002,1018,1018,55.70%,31.40%,12.90%,100.00%,24.30%
17-19/6/2002,1010,1010,56.20%,32.90%,10.90%,100.00%,23.30%
15-17/4/2002,1101,1101,56.40%,28.20%,15.40%,100.00%,28.20%
